Name	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species
Antheraea pernyi	Animalia	Arthropoda	Insecta	Lepidoptera	Saturniidae	Unknown	Unknown	Unknown
Enterococcus hirae	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unknown	E. hirae Farrow  Collins, 1985
Anterhynchium flavomarginatum micado	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Hippoglossus hippoglossus	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Hippoglossus	Unknown	H. hippoglossus
Bothrops pirajai	Animalia	Chordata	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Paralichthys olivaceus	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Paralichthyidae	Paralichthys	Unknown	P. olivaceus
Ruminococcus gnavus	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Brassica rapa subsp. chinensis	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Streptomyces malayensis	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Spodoptera littoralis	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Unknown	S. littoralis
Rana luteiventris	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	Unknown	R. luteiventris
Bombina maxima	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	Unknown	B. maxima
Phyllomedusa hypochondrialis	Animalia	Chordata	Amphibia	Anura	Hylidae	Phyllomedusa	Unknown	P. hypochondrialis
Enterococcus mundtii	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unknown	E. mundtii Collins et al. 1986
Bombus pascuorum	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Thoracobombus	B. pascuorum
Buthus eupeus	Animalia	Arthropoda	Arachnida	Scorpiones	Buthidae	Mesobuthus	Unknown	M. eupeus
Agelaia pallipes pallipes	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Cullen corylifolia	Plantae	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Dahlia merckii	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Echinochloa crus-galli	Plantae	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Pyrrhocoris apterus	Animalia	Arthropoda	Insecta	Hemiptera	Unknown	Unknown	Unknown	Unknown
Leonia cymosa	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Bacillus circulans	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Amycolatopsis sp. (strain MI481-42F4 / FERM P-12739)	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Capsicum annuum	Plantae	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Litoria rothii	Animalia	Chordata	Amphibia	Anura	Hylidae	Litoria	Unknown	L. rothii
Eisenia foetida	Animalia	Annelida	Clitellata	Haplotaxida	Lumbricidae	Eisenia	Unknown	E. foetida
Crotalus durissus terrificus	Animalia	Chordata	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Spatholobus parviflorus	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Pseudopleuronectes americanus	Animalia	Chordata	Actinopterygii	Unknown	Unknown	Unknown	Unknown	Unknown
Archaeoprepona demophon	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Archaeoprepona	Unknown	A. demophon
Larimichthys crocea	Animalia	Chordata	Actinopterygii	Perciformes	Sciaenidae	Larimichthys	Unknown	L. crocea
Acrocinus longimanus	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Unknown	Unknown	Unknown
Protophormia terraenovae	Animalia	Arthropoda	Insecta	Diptera	Calliphoridae	Protophormia	Unknown	P. terraenovae
Anopheles gambiae	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Unknown	Unknown	Unknown
Streptococcus uberis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unknown	S. uberis
Streptomyces carzinostaticus	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Bungarus fasciatus	Animalia	Chordata	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Pogonoperca punctata	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Unknown	Unknown	Unknown
Isometrus maculatus	Animalia	Arthropoda	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Crotalus durissus cascavella	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Dermacentor variabilis	Animalia	Arthropoda	Arachnida	Unknown	Unknown	Unknown	Unknown	Unknown
Hyalophora cecropia	Animalia	Arthropoda	Insecta	Lepidoptera	Saturniidae	Hyalophora	Unknown	H. cecropia
Hadrurus aztecus	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Aequipecten irradians	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Heuchera sanguinea	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Nicotiana alata	Plantae	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Epinephelus coioides	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Epinephelus	Unknown	E. coioides
Lactobacillus sakei	Unknown	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unknown	L. sakei
Allomyrina dichotoma	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Unknown	Unknown	Unknown
Carnobacterium divergens	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Ascaris suum	Animalia	Nematoda	Secernentea	Ascaridida	Ascarididae	Ascaris	Unknown	A. suum
Aeshna cyanea	Animalia	Arthropoda	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Litoria xanthomera	Animalia	Chordata	Amphibia	Anura	Hylidae	Litoria	Unknown	L. xanthomera
Bothrops jararacussu	Animalia	Chordata	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Brassica oleracea var. alboglabra	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Bufo andrewsi	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	Unknown	B. andrewsi
Xenopus tropicalis	Animalia	Chordata	Amphibia	Anura	Pipidae	Unknown	Unknown	Unknown
Phyllomedusa azurea	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Rana berlandieri	Animalia	Chordata	Amphibia	Anurra	Ranidae	Lithobates	Unknown	L. berlandieri
Brassica rapa	Plantae	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Phyllomedusa sauvagei	Animalia	Chordata	Lissamphibia	Anura	Hylidae	Unknown	Unknown	Unknown
Litopenaeus vannamei	Animalia	Arthropoda	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Lactococcus lactis subsp. lactis	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Rana hosii	Animalia	Chordata	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Theromyzon tessulatum	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Rana grahami	Animalia	Chordata	Amphibia	Anura	Ranidae	Odorrana	Unknown	O. grahami
Glandirana rugosa	Animalia	Chordata	Amphibia	Anura	Ranidae	Glandirana	Unknown	G. rugosa
Mesocricetus auratus	Animalia	Chordata	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Grammistes sexlineatus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Unknown	Unknown	Unknown
Pelophylax nigromaculatus	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	Unknown	P. nigromaculatus
Lactobacillus johnsonii	Unknown	Unknown	Bacilli	Unknown	Lactobacillaceae	Lactobacillus	Unknown	L. johnsonii
Staphylococcus warneri	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unknown	S. warneri
Chassalia parviflora	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Acalolepta luxuriosa	Animalia	Arthropoda	Unknown	Insecta	Cerambycidae	Unknown	Unknown	Unknown
Morone chrysops	Animalia	Chordata	Actinopterygii	Perciformes	Moronidae	Morone	Unknown	M. chrysops
Oryctes rhinoceros	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Unknown	Unknown	Unknown
Crotalus durissus ruruima	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Bacillus badius	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unknown	B. badius
Streptococcus phage Cp-1	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Rana sphenocephala	Animalia	Chordata	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Glossina morsitans morsitans	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Bombyx mori	Animalia	Arthropoda	Insecta	Lepidoptera	Bombycidae	Bombyx	Unknown	B. mori
Rana pipiens	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Unknown	L. pipiens
Oxyopes takobius	Animalia	Arthropoda	Arachnida	Araneae	Unknown	Unknown	Unknown	Unknown
Carnobacterium maltaromaticum	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Streptoverticillium griseoverticillatum	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Castanopsis chinensis	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Lachesana tarabaevi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Lactococcus sp.	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Crassostrea virginica	Animalia	Mollusca	Bivalvia	Ostreoida	Ostreidae	Crassostrea	Unknown	C. virginica
Lactococcus phage mv1	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Myrmecia banksi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Spinacia oleracea	Plantae	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Apis mellifera	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Unknown	A. mellifera
Bacillus cereus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unknown	B. cereus
Spodoptera litura	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Unknown	S. litura
